Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2013","2013","TJ","114460","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2014","2014","TJ","112203","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2015","2015","TJ","113952","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2016","2016","TJ","119081","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2017","2017","TJ","112478.52","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2018","2018","TJ","108638.672","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2019","2019","TJ","99576.288","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2020","2020","TJ","93986.392","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2021","2021","TJ","108015.499","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2022","2022","TJ","104390.401","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6507","Food Processing","2023","2023","TJ","104390.401","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2013","2013","TJ","11926.11","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2014","2014","TJ","9299.567","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2015","2015","TJ","18275.44","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2016","2016","TJ","16329.06","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2017","2017","TJ","21976.038804","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2018","2018","TJ","27478.3607","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2019","2019","TJ","13100.430376","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2020","2020","TJ","16099.697885","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2021","2021","TJ","19277.73308","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2022","2022","TJ","5950.12227","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6507","Food Processing","2023","2023","TJ","5950.12227","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2013","2013","TJ","81025.2","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2014","2014","TJ","80694","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2015","2015","TJ","80730","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2016","2016","TJ","82108.8","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2017","2017","TJ","79583.7708","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2018","2018","TJ","83743.0632","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2019","2019","TJ","82963.7748","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2020","2020","TJ","79575.066","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2021","2021","TJ","81485.5392","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2022","2022","TJ","83291.4108","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6507","Food Processing","2023","2023","TJ","83291.4108","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2013","2013","TJ","5621","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2014","2014","TJ","4983","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2015","2015","TJ","6531","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2016","2016","TJ","7224","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2017","2017","TJ","8953.884","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2018","2018","TJ","7746.851","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2019","2019","TJ","10094.789","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2020","2020","TJ","11637.253","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2021","2021","TJ","13885.897","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2022","2022","TJ","11343.441","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723119","Energy Use (Heat)","6507","Food Processing","2023","2023","TJ","11343.441","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2013","2013","TJ","301.052","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2014","2014","TJ","326.748","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2015","2015","TJ","337.041","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2016","2016","TJ","353.028","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2017","2017","TJ","382.701989","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2018","2018","TJ","449.246307","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2019","2019","TJ","550.867636","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2020","2020","TJ","653.616304","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2021","2021","TJ","920.493792","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2022","2022","TJ","1082.099148","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6815","Food Transport","2023","2023","TJ","1082.099148","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6506","Food Packaging","2013","2013","TJ","21586.778241","E","Estimated value"
